"Laikotarpis","Rodiklis","Europos individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (ECOICOP)","Matavimo vienetai","Reikšmė"
"2013M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","95,11"
"2013M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,13"
"2013M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","95,06"
"2013M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,03"
"2013M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","94,62"
"2013M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,71"
"2013M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","94,59"
"2013M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,91"
"2013M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","94,26"
"2013M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,68"
"2013M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","94,05"
"2013M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,34"
"2013M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","94,16"
"2013M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,02"
"2013M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","94,13"
"2013M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,08"
"2013M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","93,66"
"2012M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,89"
"2012M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","92,99"
"2012M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,97"
"2012M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","93,32"
"2012M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,14"
"2012M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","93,26"
"2012M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,33"
"2012M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","93,41"
"2012M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,60"
"2012M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","93,02"
"2012M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,42"
"2012M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","92,98"
"2012M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,38"
"2012M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","92,69"
"2012M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,42"
"2012M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","91,57"
"2012M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,33"
"2012M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","91,10"
"2012M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","98,72"
"2012M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","90,33"
"2012M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","97,77"
"2012M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,85"
"2012M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","97,42"
"2012M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,79"
"2011M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","97,06"
"2011M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,21"
"2011M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","97,20"
"2011M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,27"
"2011M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","97,03"
"2011M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,06"
"2011M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","97,09"
"2011M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,05"
"2011M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","96,28"
"2011M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,00"
"2011M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","96,62"
"2011M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,39"
"2011M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","96,83"
"2011M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,20"
"2011M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","96,93"
"2011M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","89,02"
"2011M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","96,17"
"2011M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,29"
"2011M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","95,19"
"2011M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,12"
"2011M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","94,26"
"2011M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,10"
"2011M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","94,19"
"2011M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,73"
"2010M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","93,80"
"2010M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","87,84"
"2010M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","93,09"
"2010M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","87,59"
"2010M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","93,12"
"2010M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,69"
"2010M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","92,76"
"2010M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,55"
"2010M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","92,21"
"2010M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,23"
"2010M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","92,41"
"2010M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,13"
"2010M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","92,38"
"2010M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","88,04"
"2010M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","92,34"
"2010M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","87,92"
"2010M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","92,16"
