"code";"en_long_title";"lt_long_title";"date";"value";"power"
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2013-Q3";3581382;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2013-Q4";3534668;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2014-Q1";3557759;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2014-Q2";3554680;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2014-Q3";3516962;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2014-Q4";3468439;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2015-Q1";3487649;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2015-Q2";3483527;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2015-Q3";3503462;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2015-Q4";3501378;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2016-Q1";3482498;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2016-Q2";3466542;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2016-Q3";3476258;1
